Var1,Gene,Gene_Symbol,total_rxns,targeted_rxns,targeted_drugs,targeted_drugs_names,targeted_rxns_names
"Arachidonic acid metabolism",113612,NA,27,4,253,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",113612,NA,27,4,254,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",113612,NA,27,4,255,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",113612,NA,27,4,256,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",493869,NA,27,0,257,NA,
"Arachidonic acid metabolism",493869,NA,27,0,258,NA,
"Arginine and proline metabolism",8639,NA,31,0,259,NA,
"Arginine and proline metabolism",26,NA,31,0,260,NA,
"Arginine and proline metabolism",314,NA,31,0,261,NA,
"Arginine and proline metabolism",314,NA,31,0,262,NA,
"Arginine and proline metabolism",4128,NA,31,0,263,NA,
"Arginine and proline metabolism",4129,NA,31,0,264,NA,
"Arginine and proline metabolism",2806,NA,31,0,265,NA,
"Arginine and proline metabolism",2806,NA,31,0,266,NA,
"Arginine and proline metabolism",8659,NA,31,0,267,NA,
"Arginine and proline metabolism",8659,NA,31,0,268,NA,
"Arginine and proline metabolism",8659,NA,31,0,269,NA,
"Arginine and proline metabolism",8659,NA,31,0,270,NA,
"Arginine and proline metabolism",8659,NA,31,0,271,NA,
"Arginine and proline metabolism",262,NA,31,0,272,NA,
"Arginine and proline metabolism",79814,NA,31,0,273,NA,
"Arginine and proline metabolism",216,ALDH1A1,31,1,1,Emodin,NABTNO
"Arginine and proline metabolism",8854,NA,31,1,275,NA,NABTNO
"Arginine and proline metabolism",501,NA,31,1,276,NA,NABTNO
"Arginine and proline metabolism",8854,NA,31,1,277,NA,NABTNO
"Arginine and proline metabolism",223,NA,31,1,278,NA,NABTNO
"Arginine and proline metabolism",224,NA,31,1,279,NA,NABTNO
"Arginine and proline metabolism",8854,NA,31,1,280,NA,NABTNO
"Arginine and proline metabolism",113451,NA,31,0,281,NA,
"Arginine and proline metabolism",1610,NA,31,0,282,NA,
"Arginine and proline metabolism",1610,NA,31,0,283,NA,
"Arginine and proline metabolism",4507,NA,31,0,284,NA,
"Arginine and proline metabolism",4846,NA,31,0,285,NA,
"Arginine and proline metabolism",4846,NA,31,0,286,NA,
"Arginine and proline metabolism",4846,NA,31,0,287,NA,
"Arginine and proline metabolism",4846,NA,31,0,288,NA,
"Arginine and proline metabolism",201288,NA,31,0,289,NA,
"Arginine and proline metabolism",201288,NA,31,0,290,NA,
"Arginine and proline metabolism",4842,NA,31,0,291,NA,
"Arginine and proline metabolism",4842,NA,31,0,292,NA,
"Arginine and proline metabolism",4842,NA,31,0,293,NA,
"Arginine and proline metabolism",4842,NA,31,0,294,NA,
"Arginine and proline metabolism",4843,NA,31,0,295,NA,
"Arginine and proline metabolism",4843,NA,31,0,296,NA,
"Arginine and proline metabolism",4843,NA,31,0,297,NA,
"Arginine and proline metabolism",4843,NA,31,0,298,NA,
"Arginine and proline metabolism",4843,NA,31,0,299,NA,
"Arginine and proline metabolism",4843,NA,31,0,300,NA,
"Arginine and proline metabolism",645740,NA,31,0,301,NA,
